Blues Brothers;komedia;1980;133
Skazani na Shawshank;dramat;1994;144
Ojciec Chrzestny;dramat;1972;170
Pingwiny z Madagaskaru;animacja;2014;92
Chłopcy z ferajny;kryminał;1990;146
